,text,sentiment,labels,ca_related,day,filter_type
,"@wandering_nick @globeandmail Do you not have faith in your own vaccine....?🤔🤷🏽‍♀️ Is your vaccine not strong enough to protect you from even the greatest of threats...?🤔🤷🏽‍♀️Maybe you should stop pushing your vaxx on those who don’t need or want it, and start giving it to those who do...🤷🏽‍♀️ https://t.co/mpYrUXzZWN",neut,vax-efficiency,ca,30_nov,news
,"@lenmac1 @univrsle @thecherrymix @CBCNews That comment didn't make sense. There person seems to think that vaccine mandates and their accompanying QR code is a myth. 

What part of that is untrue? You watch too much CBC.",neut,covid-controversy,ca,30_nov,news
,@dennizenx @CBCNews Wait until all adverse vaccine side effects that they keep denying become symptoms of Omicron.,neut,vax-efficiency,ca,30_nov,news
,"@CBCNews No one should be harassed and that should be reciprocal. This wouldn't be happening if people were permitted the freedom and autonomy to decide whether or not to take part in an experimental vaccine clinical trial, and whether or not to have a QR code identity.",neut,covid-controversy,ca,30_nov,news
,@Nita4571909011 @CBCAlerts Too late? We haven’t even finished clinical trials of the vaccine,neut,pandemic-logistics,ca,30_nov,news
,@CBCNews During COVID 19 vaccine trials some people received placebo vaccines. Unfortunately it is unknown who received placebo vaccines or who received real vaccines. Everyone who received a shot has a vaccine passport. This gives a false sense of security.,neut,pandemic-legal,ca,30_nov,news
,@VOCMNEWS @CBCNews @JustinTrudeau Vaccine Mandates deemed unconstitutional in the great USA. Mandates blocked by the courts. They deemed it illegal and immoral to limit peoples movement based on vaccination status.  Ooops. No vaxpass in the USA.,neut,pandemic-legal,non-ca,30_nov,news
,"@AceRoth08295246 @CBCAlerts Dido. Like I said.. move to Vegas Ace, since you love betting. The casinos there are mask free. Vaccine mandate free. Its where you belong man.. go..",neg,covid-controversy,ca,30_nov,news
,"@CBCNews #CCPVirus  #BioWeapon  #CCPLiedPeopleDied 
the #COVID19 varaint is the ccp's bioweapon!
vaccine is useless because omicron can across it
the Antidote is the Artemisinin https://t.co/dVXIhSbkjG",neg,covid-controversy,ca,30_nov,news
,"@CBCNews I've had trouble accessing medical treatment for my infant.  Denied care by multiple doctors and ended up at sick kids emergency.  Looks like the town got fed up with being denied medical care based on a 'vaccine' that doesn't stop or minimize spread, just as big pharma claims.",neg,covid-controversy,ca,30_nov,news
,"@wandering_nick @globeandmail Because if your vaccine was truly half as good &amp; effective as it was toted to be... you wouldn’t need 3 doses of it, in less than a year, now would you...?🤔🤷🏽‍♀️ Even the Pneumococcal Pneu-P-23 vaccine, you typically only need 1 dose of, for life 🤷🏽‍♀️ (2/2) https://t.co/KP0S1OPxPU",neg,vax-efficiency,ca,30_nov,news
,@JessicaBerlette @CBCNews The majority of people who got the vaccine had to have their freedoms stripped away in order to get a medical procedure they didn't need.,neg,pandemic-logistics,ca,30_nov,news
,"@Murcut @CBCNews You’re a tin hat. 
I follow several vaccine passport opposition pages and attend the rallies. We don’t do any of this.",neg,covid-controversy,ca,30_nov,news
,"@AprilFoolsRebel @SDonato89 @hoopstar245 @bumbaclot6969 @CBCNews It's proof that lockdowns, masks, and vaccine passports make things worse.

You were quick to use Florida as a bad example, too late to back out now.",neg,covid-controversy,non-ca,30_nov,news
,"@CBCNews Divide and conquer.Divide and conquer.Divide and conquer.Divide and conquer. 
Why are you reporting this? She's 69 and retiring """"early"""" If you want to encourage people taking this mRNA vaccine, this is not how you do it.
How about pushing for a mRNA alternative? Like Novavax...",neg,covid-controversy,ca,30_nov,news
,@CBCAlerts Doesn’t all the vaccinated get set back to ZERO now it’s time for a new so called vaccine for OMICRON 😂 you guys all got FUCT stop being the guinea pig,neg,covid-new-variant,ca,30_nov,news
,"@Peevedoffparent @wayne39689851 @kerrybehave @deezed1 @CBCNews Propaganda, I’m against the vaccine you weed bag. Lol try to keep up bud. I know it’s hard to think for yourself when all you do is listen to the stupidity of the extreme right. 
But try to use common sense.",neg,covid-controversy,ca,30_nov,news
,@ArthurDornville @globeandmail And a vaccine that doesn’t stop you from spreading it to the equally privileged air traveller in the seat next to you. #falsesenseofsecurity #propagandabrainwashing,neg,vax-efficiency,ca,30_nov,news
,@CBCNews The doctor straight up admits in the article that she treated unvaccinated patients differently. For the safety of the vaccinated ? What a joke. If the vaccine works then why you need to protect the vaccinated ? Wake up people,neg,vax-efficiency,ca,30_nov,news
,"@hoopstar245 @btcbastard @CBCNews then why are we letting go so many health care workers?
please explain that because if the vaccine doesn't keep you from getting/spreading but is designed to keep the hospitals from crashing SURELY you would fire a bunch of your workers...but ok ""lmao""",neg,pandemic-legal,ca,30_nov,news
,"@CBCAlerts UK experts warn that fully vaccinated catching COVID can pass it to those they live with. A British study, published in the Lancet Oct. 29, showed individuals who have had two vaccine doses can be just as infectious as those who have not been vaccinated.",neg,covid-controversy,non-ca,30_nov,news
,"@RachelNotley Relying on @CBCNews  to fear monger.
Missing from the article:
Average daily staff shortage because of two week quarantine due to COVID-19?
How many sick from vaccine side effects?
How many are suspended due to vaccine hesitancy?
#JournalismIsDead",neg,covid-controversy,ca,30_nov,news
,"@Murcut @CBCNews Yeah ,no. That's just wrong. You have no idea.  A white supremacist because I'm scared of an unproven vaccine? And all the rest of your bullshit you just spewed? Give your head a shake, clown!",neg,covid-controversy,ca,30_nov,news
,"@CBCNews It's not a vaccine if it's on subscription model 
It's a shot.
A forced one.",neg,covid-controversy,ca,30_nov,news
,@BrinkoftheWorld @CBCAlerts Perhaps because persons entering the country from those nations have been identified as having the new variant.  They also have an appallingly low vax rate-even though S.A. has enough vaccine.,neg,covid-new-variant,non-ca,30_nov,news
,"@wandering_nick @globeandmail If your vaccine is so strong, why do you need 3 doses of it in less than a year...?🤔🤷🏽‍♀️ And why did a fully vaxxed man STILL get the Omnicron variant...?🤔🤷🏽‍♀️ Riddle me this...🤷🏽‍♀️ https://t.co/YTz1dqKOlf",neg,vax-efficiency,ca,30_nov,news
,"@matt_hoog @CBCNews @GovRonDeSantis You should look at deaths and cases per capita and see how well they are doing versus places with the strictest restrictions, it shows that masks and vaccine mandates and passports do nothing. Everywhere has deaths and are going to have deaths but they made the right decisions",neg,covid-controversy,ca,30_nov,news
,"@CBCNews Yes because this biggest problem rn!!! This!!!! Not the fact have endless lockdowns and mask/vaccine mandates and y’all still somehow let the new variant spread. And the fact that BC is turning into the Atlantis and the sky high gas price, but no political correctness comes first",neg,covid-new-variant,ca,30_nov,news
,@pledge420 @michelle1206 @brianr1287 @CBCNews Wrong. These vaccines don't immunize you so the virus mutates to escape the vaccine.,neg,vax-efficiency,non-ca,30_nov,news
,"@kevlarbieska @PatriotLov @CBCNews I can try harder...Its not a stretch to say a few doctors would refuse patients who refuse to take the mRNA vaccine given our current situation of divide and conquer, amplifier by our current Libtard government. https://t.co/sBvtOAdTfq",neg,covid-controversy,non-ca,30_nov,news
,"@nationalpost He’s obviously only saying this so that he can hype and sell billions of the company’s next vaccine, that will no doubt be 100% effective against Omicron!",neut,covid-new-variant,non-ca,30_nov,news
,@picardonhealth @CBCNews Anti vaccine protesters want freedom of choice.  They should acknowledge that and allow the vaccinated their freedom of choice to get a vaccine. But they don’t. These aggressive demonstrators simply reflect their limited intelligence and lack of social conscience,neg,covid-controversy,ca,30_nov,news
,"@TalonXavier_ @hsmcknight @Murcut @CBCNews Anti-vaxxers just want to live completely free of any consequences.  It's the dumbest, most selfish thing I've ever seen.  Don't want the vaccine?  Don't get it.  But understand that there are consequences to your actions.  Quit being petulant children.",pos,covid-controversy,ca,30_nov,news
,@PTehrooni @CBCNews Vaccine donations wouldn't be necessary if patents were lifted. This would likely be over already if that was the case.,neut,pandemic-logistics,non-ca,30_nov,news
